link,price,store,title
,, ,
https://slickdeals.net/f/10076220-wells-fargo-cash-wise-visa-card-200-bonus-1-5-cash-rewards?src=sticky,                                           $200 Bonus                                                                               ,Wells Fargo - Bank Advertiser ,Wells Fargo Cash Wise Visa® Card
https://slickdeals.net/f/11200259-3-year-nordvpn-subscription-99?src=sticky,                                           $99                                                                               ,NordVPN ,3-Year NordVPN Subscription
https://slickdeals.net/f/11703283-allen-edmonds-warehouse-sale-men-s-tate-wingtip-shoe-130-more-free-s-h-on-50?src=sticky,                                           $130                                                                                   $295 ,Allen Edmonds ,Allen Edmonds Warehouse Sale&colon; Men&apos;s Tate Wingtip Shoe
https://slickdeals.net/f/8256561-chase-sapphire-preferred-credit-card-50k-points-w-4k-spent-in-1st-3-mos?src=sticky,                                           50K Points                                                                               ,Chase - Bank Advertiser ,Chase Sapphire Preferred Credit Card
https://slickdeals.net/f/11403699-chase-ink-business-cash-credit-card-500-bonus-cash-back-after-you-spend-3-000-on-purchases-in-the-first-3-months?src=sticky,                                           $500 Cash Back                                                                               ,Chase - Bank Advertiser ,Chase Ink Business Cash Card
https://slickdeals.net/f/11676639-dewalt-brushless-13-in-20-volt-max-lithium-ion-cordless-string-grass-trimmer-with-4-0ah-battery-charger-and-bonus-blower-199-fathers-day-special?src=sticky,                                           $199                                                                               ,Home Depot ,Dewalt Brushless&colon; Cordless String Trimmer &plus; Blower &plus; 4&period;0Ah Batttery
https://slickdeals.net/f/8631122-chase-freedom-unlimited-credit-card-bonus-after-500-spent-150-bonus-1-5-cash-back?src=sticky,                                           $150 Bonus                                                                               ,Chase - Bank Advertiser ,Chase Freedom Unlimited® Credit Card
https://slickdeals.net/f/11621423-new-ink-business-unlimited-credit-card-500-bonus-after-3k-spent-in-3-months?src=sticky,                                           $500 Bonus                                                                               ,Chase - Bank Advertiser ,Chase Ink Business Unlimited Credit Card
https://slickdeals.net/f/9205591-chase-ink-business-preferred-card-80k-points-w-5k-spent-in-1st-3-mos?src=sticky,                                           80K Points                                                                               ,Chase - Bank Advertiser ,Chase Ink Business Preferred Card
https://slickdeals.net/f/10817763-verizon-fios-100-100-mbps-internet-only-plan-new-customers-only-39-99-month-auto-pay-required?src=sticky,                                           $39.99/month                                                                               ,Verizon Fios ,Verizon Fios&colon; 100&sol;100 Mbps Internet Only Plan &lpar;New Customers Only&rpar;
https://slickdeals.net/f/11710519-lowepro-fastpack-bp-250-aw-ii-backpack-black-75-free-shipping,                                           $75                                                                                                                             $130 ,Amazon ,Lowepro Fastpack BP 250 AW II Backpack &lpar;Black&rpar;
https://slickdeals.net/f/11717747-500gb-microsoft-xbox-one-s-console-fallout-4-bundle-199-free-shipping,                                           $199                                                                               ,Walmart ,500GB Microsoft Xbox One S Console &plus; Fallout 4 Bundle
https://slickdeals.net/f/11712731-zotac-geforce-gtx-1080-mini-8gb-gddr5x-graphics-card-500-free-shipping,                                           $500                                                                               ,B&H Photo Video ,Zotac GeForce GTX 1080 Mini 8GB GDDR5X Graphics Card
https://slickdeals.net/f/11719151-30-rolls-of-0-5-oz-betty-crocker-fruit-snacks-fruit-roll-ups-strawberry-sensation-3-73-free-shipping,                                           $3.75                                                                               ,Amazon ,30-Ct Betty Crocker Fruit Snacks Fruit Roll-Ups &lpar;Strawberry Sensation&rpar;
https://slickdeals.net/f/11678559-club1hotels-1-yr-club1hotels-membership-1-yr-shoprunner-membership-free-more,                                           Free                                                                               ,Club 1 Hotels ,Club1Hotels&colon; 1-Yr Club1Hotels Membership &plus; 1-Yr ShopRunner Membership
https://slickdeals.net/f/11718459-honeywell-econoswitch-rpls740b-7-day-solar-time-table-programmable-switch-for-lights-and-motors-amazon-for-26-49,                                           $26.50                                                                                                                             $50 ,Amazon ,Honeywell Econoswitch Solar Time Table Programmable Switch
https://slickdeals.net/f/11717911-home-depot-trimount-52-in-indoor-white-ceiling-fan-with-light-kit-40-52-in-brushed-nickel-indoor-ceiling-fan-45-more-free-shipping-6-20-18-only,                                           $40                                                                               ,Home Depot ,"Ceiling Fans&colon; Trimount 52"" Indoor White Ceiling Fan w&sol; Light Kit"
https://slickdeals.net/f/11670063-garmin-drivesmart-61-na-lmt-s-6-95-gps-refurbished-149-free-shipping,                                           $149                                                                                                                             $180 ,BuyDig ,"Garmin DriveSmart 61 NA LMT-S 6&period;95"" GPS &lpar;Refurbished&rpar;"
https://slickdeals.net/f/11713007-altra-escalante-running-shoe-69-98-free-s-h,                                           $70                                                                                   $130 ,JackRabbit ,Altra Escalante Running Shoes &lpar;Men&apos;s or Women&apos;s&rpar;
https://slickdeals.net/f/11717995-select-klymit-camping-gear-klymit-static-v-lightweight-sleeping-pad-coyote-sand-38-66-klymit-static-v-junior-sleeping-pad-green-black-26-24-more-via-amazon,                                           from $38.70                                                                               ,Amazon ,Klymit Camping Gear&colon; Klymit Static V Lightweight Sleeping Pad &lpar;various&rpar;
https://slickdeals.net/f/11718859-adidas-nmd-r1-primeknit-shoe-72-25-f-s,                                           $72                                                                               ,Adidas ,adidas Men&apos;s NMD&lowbar;R1 Primeknit Shoes
https://slickdeals.net/f/11670147-29-lg-29um59a-p-2560x1080-freesync-ips-led-monitor-184-free-shipping,                                           $184                                                                               ,BuyDig ,"29"" LG 29UM59A-P 2560x1080 Freesync IPS LED Monitor"
https://slickdeals.net/f/11718443-adidas-ebay-25-off-select-items-15-off-25-adidas-men-s-d2m-3-stripes-shorts-2-for-25-50-12-25-each-crazylight-shorts-3-for-28-65-9-55-each-more-free-shipping,                                           2 for $25.50                                                                               ,Adidas ,Adidas Sale&colon; 25&percnt; Off &plus; 15&percnt; Off Orders &dollar;25&plus;&colon; Adidas Men&apos;s 3-Stripes Shorts
https://slickdeals.net/f/11718083-atom-app-website-5-off-any-movie-with-coupon-code-raptor5,                                           $5 Off                                                                               ,Atom Tickets ,Atom Movie&colon; Any Movie Ticket Purchase
https://slickdeals.net/f/11718363-adidas-men-s-pureboost-all-terrain-shoes-61-20-free-shipping,                                           $61                                                                                                                             $160 ,eBay ,Men&apos;s Adidas PureBoost All Terrain Running Shoes &lpar;Core Black&rpar;
https://slickdeals.net/f/11717691-1tb-seagate-firecuda-sata-6gb-s-2-5-quot-hybrid-gaming-hard-drive-53,                                           $53                                                                                                                             $63 ,Amazon ,"1TB Seagate Firecuda Gaming 2&period;5"" Internal Hard Drive"
https://slickdeals.net/f/11717095-playhut-nickelodeon-dora-s-unicorn-trail-13-59-free-store-pickup-walmart,                                           $13.60                                                                                   $52 ,Walmart ,Playhut Nickelodeon Dora&apos;s Unicorn Trail
https://slickdeals.net/f/11667123-tools-sale-3-pc-dewalt-countersink-set-10-irwin-6-quick-grip-bar-clamp-10-more-free-store-pickup,                                           $10                                                                               ,Ace Hardware ,"3-Pc DeWalt Countersink Set &dollar;10&comma;Irwin 6"" Bar Clamp"
https://slickdeals.net/f/11717903-select-logitech-pc-accessories-mice-keyboard-more-mx-master-2s-wireless-mouse-59-99-mx-master-wireless-mouse-49-99-k400-plus-keyboard-17-98-more-via-amazon,                                           $18                                                                               ,Amazon ,Logitech G302 Gaming Mouse &dollar;17&comma; K400 Plus Keyboard
https://slickdeals.net/f/11717623-crocs-classic-flip-flop-or-slide-sandal-2-for-23-11-50-each-womens-laura-flats-2-for-21-66-10-83-each-mens-santa-cruz-2-luxe-loafer-2-for-43-40-free-shipping-more,                                           2 for $23                                                                               ,eBay ,Crocs 2-Pair Discounts&colon; Classic Unisex Flip Flop or Slide Sandal
https://slickdeals.net/f/11701703-lacoste-match-cotton-colorblocked-bath-towel-14-free-s-h-on-99-or-3-shipping,                                           $14                                                                                   $36 ,Macy's ,Lacoste Match Cotton Colorblocked Bath Towel &lpar;various colors&rpar;
https://slickdeals.net/f/11715619-joby-griptight-pov-kit-10-free-s-h,                                           $10                                                                                                                             $40 ,B&H Photo Video ,Joby GripTight POV Kit
https://slickdeals.net/f/11715311-lowepro-droneguard-pro-450-camera-backpack-for-dji-phantom-drones-100-free-s-h,                                           $100                                                                                                                             $275 ,Adorama ,Lowepro DroneGuard Pro 450 Backpack for DJI Phantom Drones
https://slickdeals.net/f/11717643-9-lodge-l9mw-cast-iron-mini-wok-14-free-s-h-on-35,                                           $14                                                                                                                             $37 ,Walmart ,"9"" Lodge L9MW Cast Iron Mini Wok"
https://slickdeals.net/f/11716259-telltale-games-sale-at-xbox-microsoft,                                           $9                                                                                                                             $30 ,Microsoft Store ,Telltale Digital Games&colon; Minecraft&colon; Story Mode&colon; Complete Episodes 1-8
https://slickdeals.net/f/11713047-wd-black-500gb-high-performance-nvme-pcie-gen3-8-gb-s-m-2-2280-ssdf-for-170,                                           $170                                                                                                                             $230 ,Amazon ,500GB WD Black NVMe PCIe Gen3 M&period;2 Solid State Drive SSD
https://slickdeals.net/f/11715783-stanley-fatmax-140w-12v-dc-to-120v-ac-power-outlet-inverter-w-dual-usb-ports-13-77-free-store-pickup-walmart,                                           $13.80                                                                                   $25 ,Walmart ,Stanley FatMax 140W Power Outlet Inverter w&sol; Dual USB Ports
https://slickdeals.net/f/11715343-set-of-3-lego-books-w-2-lego-figures-21-free-shipping,                                           $21                                                                               ,Deal Genius ,Set of 3 LEGO Books w&sol; 2 LEGO Figures
https://slickdeals.net/f/11715963-1-year-private-internet-access-vpn-service-new-customers-dashlane-new-customers-adguard-premium-15,                                           $15                                                                               ,Humble Bundle ,Humble Cybersecurity Bundle&colon; 1-Year of Private Internet Access VPN Service
https://slickdeals.net/f/11716619-graco-nautilus-80-elite-3-in-1-car-seat-96,                                           $96                                                                                                                             $200 ,Graco ,Graco Nautilus 80 Elite 3-in-1 Car Seat &lpar;Quinley&rpar;
https://slickdeals.net/f/11717511-ryobi-ultra-quiet-2-hp-belt-drive-garage-door-opener-148,                                           $148                                                                                                                             $248 ,Home Depot ,Ryobi Ultra-Quiet 2 HP Belt Drive Garage Door Opener
https://slickdeals.net/f/11716955-evga-cl11-cpu-cooler-free-clc-tuners-for-39-99-more-free-shipping,                                           $40                                                                               ,EVGA ,EVGA CLC 120 CL11 Liquid &sol; Water CPU Cooler &plus; CLC Tuners Bundle
https://slickdeals.net/f/11716519-8-port-tp-link-tl-sg108-gigabit-ethernet-network-switch-21,                                           $21                                                                                                                             $40 ,Amazon ,8-Port TP-Link TL-SG108 Gigabit Ethernet Network Switch
https://slickdeals.net/f/11716295-adidas-men-s-tubular-shadow-shoes-30-60-tubular-radial-shoes-34-tubular-doom-sock-primeknit-45-90-more-free-shipping,                                           $30.60                                                                                   $110 ,eBay ,adidas Men&apos;s Tubular Shadow Shoes &lpar;various colors&rpar;
https://slickdeals.net/f/11717023-optimum-nutrition-amino-energy-w-green-tea-green-coffee-extract-preworkout-green-apple-30-servings-12-50-or-less-w-s-s-free-shipping-amazon,                                           $12.50                                                                               ,Amazon ,30-Servings Optimum Nutrition Amino Energy &lpar;Green Apple&rpar;
https://slickdeals.net/f/11715351-paypal-accounts-can-sign-up-for-a-2-years-free-membership-with-shoprunner,                                           Free                                                                               ,ShopRunner ,PayPal Members&colon; 2-Years of ShopRunner Membership
https://slickdeals.net/f/11713991-mountain-hardwear-direttissima-35-outdry-pack-98-73-free-shipping,                                           $98.75                                                                                   $200 ,REI-Outlet.com ,Mountain Hardwear Direttissima 35 OutDry Pack
https://slickdeals.net/f/11715763-2-pack-anker-waterproof-case-ipx8-waterproof-phone-pouch-6-99-fsss,                                           $7                                                                                                                             $17 ,Amazon ,"2-Pack Anker Waterproof Pouch for 6"" Smartphones"
https://slickdeals.net/f/11716587-duromax-xp2000eh-2000-watt-dual-fuel-digital-inverter-hybrid-portable-generator-325-more-free-s-h,                                           $325                                                                                                                             $999 ,eBay ,DuroMax 2000-Watt Dual Fuel Portable Generator
https://slickdeals.net/f/11716483-horizon-zero-dawn-the-frozen-wilds-dlc-ps4-digital-download-9-99,                                           $10                                                                                                                             $20 ,Playstation Store ,Horizon Zero Dawn&colon; The Frozen Wilds DLC &lpar;PS4 Digital Download&rpar;
https://slickdeals.net/f/11713575-battle-chasers-nightwar-nintendo-switch-23-71,                                           $23.70                                                                                                                             $40 ,Walmart ,Battle Chasers&colon; Nightwar &lpar;Nintendo Switch&rpar;
https://slickdeals.net/f/11715631-newegg-bio-bidet-prestige-bb-800-electric-bidet-seat-for-round-elongated-toilet-in-white-239-20-newegg-gc,                                           $239                                                                                   $450 ,Newegg ,Bio Bidet Prestige BB-800 R Electric Bidet Seat &plus; &dollar;20 Newegg GC
https://slickdeals.net/f/11711223-snow-joe-ultra-sj625e-21-inch-15-amp-electric-snow-thrower-122-77,                                           $118.80                                                                                                                             $290 ,Walmart ,"Snow Joe Ultra SJ625E 21"" 15-Amp Electric Snow Thrower"
https://slickdeals.net/f/11710511-asus-vivobook-flip-14-2-in-1-touch-laptop-fhd-i5-8250u-8gb-ddr4-256gb-ssd-550-free-shipping,                                           $550                                                                               ,eBay ,ASUS Vivobook Flip 14 2-in-1 Touch Laptop&colon; FHD&comma; i5-8250U&comma; 8GB DDR4&comma; 256GB SSD
https://slickdeals.net/f/11712395-nike-essential-chaser-r-sport-sunglasses-w-flash-lens-34-free-shipping,                                           $34                                                                                                                             $140 ,EyeDictive ,Nike Essential Chaser R Sport Sunglasses w&sol; Flash Lens
,,,
